date,year,type,country,area,location,activity,sex,age,fatal_y_n,time,species,activity_group,species_group
2023-05-13,2023,Unprovoked,AUSTRALIA,South Australia,Elliston,Surfing,M,46.0,Y,10h10,White shark,surfing,white shark
2023-04-29,2023,Unprovoked,AUSTRALIA,Western Australia,"Yallingup, Busselton",Swimming,M,,N,11h20,1m shark,swimming,other shark
2022-10-07,2022,Unprovoked,AUSTRALIA,Western  Australia,Port Hedland,Spearfishing,M,38.0,N,11h30,Bull shark,fishing,bull shark
2021-10-04,2021,Unprovoked,USA,Florida,"Fort Pierce State Park, St. Lucie County",Surfing,M,25.0,N,,,surfing,unknown
2021-10-03,2021,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,,N,12h00,,swimming,unknown
2021-05-23,2021,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,M,26.0,N,,5' shark,swimming,other shark
2021-05-03,2021,Unprovoked,USA,Hawaii,"Marine Corps Base, Oahu",Surfing,M,14.0,N,16h00,5.5 ft shark,surfing,other shark
2021-05-01,2021,Unprovoked,JAMAICA,Westmoreland Parish,"Little Bay, Little London",Spearfishing,M,53.0,Y,08h00,,fishing,unknown
2021-03-25,2021,Unprovoked,USA,Florida,Indian River County,,F,16.0,N,11h45,3' to 5' shark,other,other shark
2021-01-29,2021,Unprovoked,AUSTRALIA,Western Australia,"Melaleuca Beach, Cowaramup Bay, Gracetown,",Swimming,F,46.0,N,10h30,,swimming,unknown
2020-10-31,2020,Unprovoked,USA,Florida,Ormond Beach,Swimming,M,17.0,N,16h00,"Blacktip shark, 6' to 7'",swimming,other shark
2020-10-24,2020,Unprovoked,AUSTRALIA,Queensland,Britomart Reef,Spearfishing,M,59.0,N,12h00,,fishing,unknown
2020-08-02,2020,Unprovoked,USA,Virgin Islands,"Candle Reef, St. Croix",Snorkeling,F,,N,14h00,"Nurse shark, 5'",other,other shark
2020-02-22,2020,Unprovoked,NEW ZEALAND,North Island,Pauanui Beach,Surfing,M,60.0,N,11h30,White shark,surfing,white shark
2019-12-26,2019,Unprovoked,PAPUA NEW GUINEA,Central Province,Ragelapara reef,Spearfishing,M,33.0,Y,16h30,,fishing,unknown
2019-11-14,2019,Provoked,FRENCH POLYNESIA,Moorea,Afareitu Lagoonarium.,Feeding sharks,M,9.0,N,,5' blacktip shark,other,other shark
2019-08-03,2019,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21.0,N,16h00,,surfing,unknown
2019-08-03,2019,Unprovoked,USA,Florida,Off Key Biscayne,Spearfishing / Diving,M,37.0,N,,,fishing,unknown
2019-02-04,2019,Unprovoked,AUSTRALIA,New South Wales,Urunga area,Surfing,M,50.0,N,06h15,,surfing,unknown
2019-01-29,2019,Invalid,NEW ZEALAND,South Island,Oreti Beach,Boogie boarding,F,17.0,N,Evening,Reported as shark bite but injury caused by stingray,watercraft,other shark
2018-10-23,2018,Unprovoked,USA,Florida,"Near Patrick AFB, Brevard County",Surfing,F,,N,Early afternoon,3' to 4' shark,surfing,other shark
2018-07-24,2018,Provoked,CHINA,Guizhou Province,Shopping mall aquarium in Guiyang City,Putting hand in shark tank,F,6.0,N,Afternoon,,other,unknown
2018-06-25,2018,Watercraft,USA,California,"Oceanside, San Diego County",Paddling,F,57.0,N,18h00,White shark,other,white shark
2017-09-24,2017,Invalid,USA,New York,Rockaway,Surfing,M,33.0,,15h30,Questionable,surfing,unknown
2017-07-07,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13.0,N,15h00,"White shark, 2.5 m",surfing,white shark
2017-06-10,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19.0,N,10h00,,surfing,unknown
2017-03-01,2017,Unprovoked,BAHAMAS,The Exuma Cays,Compass Cay,Floating,F,,N,,Nurse shark,other,other shark
2017-01-13,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57.0,N,13h30,,swimming,unknown
2016-12-24,2016,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,,N,Morning,a small shark,other,other shark
2016-09-06,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50.0,Y,15h40,,surfing,unknown
2016-07-15,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,,N,,,swimming,unknown
2016-06-23,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43.0,N,,White shark,fishing,white shark
2016-04-19,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12.0,N,12h00,Wobbegong shark,swimming,other shark
2016-01-02,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31.0,N,11h30,3 m shark,fishing,other shark
2015-12-13,2015,Watercraft,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,,,N,10h30,"White shark, 3.5 m",fishing,white shark
2015-11-07,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9.0,,11h00,Shark involvement not confirmed,surfing,other shark
2015-10-09,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25.0,N,10h25,"Tiger shark, 13'",surfing,tiger shark
2015-07-02,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding,M,32.0,N,09h00,White shark,watercraft,white shark
2015-06-17,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10.0,N,13h00,,swimming,unknown
